x:/2, y:/4,5, z:/3
x:/3, y:/7,2, z:/2,1
x:/4, y:/5,8, z:/3,7
x:/5, y:/9,1, z:/2,8
x:/6, y:/6,4, z:/4,3
x:/7, y:/3,2, z:/1,9
x:/8, y:/8,7, z:/2,5
x:/9, y:/5,6, z:/3,2
x:/10, y:/6,9, z:/4,8
x:/11, y:/4,3, z:/2,6
x:/12, y:/7,8, z:/3,1
x:/13, y:/6,2, z:/2,4
x:/14, y:/8,5, z:/4,2
x:/15, y:/3,7, z:/1,8
x:/16, y:/9,4, z:/3,5
x:/17, y:/5,1, z:/2,3
x:/18, y:/7,3, z:/4,0
x:/19, y:/6,7, z:/2,2
x:/20, y:/8,2, z:/3,9
x:/21, y:/4,9, z:/2,7
x:/22, y:/7,1, z:/3,3
x:/23, y:/6,3, z:/1,5
x:/24, y:/9,7, z:/4,6
x:/25, y:/5,4, z:/2,0
x:/26, y:/8,9, z:/3,6
x:/27, y:/7,5, z:/1,7
x:/28, y:/4,1, z:/4,1
x:/29, y:/6,6, z:/2,9
x:/30, y:/9,2, z:/3,0
x:/31, y:/5,3, z:/1,6
x:/32, y:/7,7, z:/4,5
x:/33, y:/6,1, z:/2,2
x:/34, y:/8,4, z:/3,8
x:/35, y:/4,8, z:/1,4
x:/36, y:/7,0, z:/2,0
x:/37, y:/5,2, z:/4,4
x:/38, y:/9,5, z:/3,3
x:/39, y:/6,8, z:/1,6
x:/40, y:/8,3, z:/2,8
x:/41, y:/5,7, z:/3,9
x:/42, y:/7,4, z:/1,5
x:/43, y:/6,0, z:/4,7
x:/44, y:/8,6, z:/2,4
x:/45, y:/4,2, z:/3,1
x:/46, y:/9,0, z:/1,8
x:/47, y:/5,5, z:/2,7
x:/48, y:/7,9, z:/4,2
x:/49, y:/6,5, z:/3,0
x:/50, y:/8,1, z:/1,7
