x:/2; y:/4,5
x:/3; y:/7,2
x:/4; y:/5,8
x:/5; y:/9,1
x:/6; y:/6,4
x:/7; y:/3,2
x:/8; y:/8,7
x:/9; y:/5,6
x:/10; y:/6,9
x:/11; y:/4,3
x:/12; y:/7,8
x:/13; y:/6,2
x:/14; y:/8,5
x:/15; y:/3,7
x:/16; y:/9,4
x:/17; y:/5,1
x:/18; y:/7,3
x:/19; y:/6,7
x:/20; y:/8,2
x:/21; y:/4,9
x:/22; y:/7,1
x:/23; y:/6,3
x:/24; y:/9,7
x:/25; y:/5,4
x:/26; y:/8,9
x:/27; y:/7,5
x:/28; y:/4,1
x:/29; y:/6,6
x:/30; y:/9,2
x:/31; y:/5,3
x:/32; y:/7,7
x:/33; y:/6,1
x:/34; y:/8,4
x:/35; y:/4,8
x:/36; y:/7,0
x:/37; y:/5,2
x:/38; y:/9,5
x:/39; y:/6,8
x:/40; y:/8,3
x:/41; y:/5,7
x:/42; y:/7,4
x:/43; y:/6,0
x:/44; y:/8,6
x:/45; y:/4,2
x:/46; y:/9,0
x:/47; y:/5,5
x:/48; y:/7,9
x:/49; y:/6,5
x:/50; y:/8,1
