[Datos]
x:/2, y:/3, z:/5
x:/3, y:/4, z:/7
x:/1, y:/10, z:/11
x:/2, y:/24, z:/26
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/0, y:/0, z:/0
x:/10, y:/20, z:/30
x:/20, y:/30, z:/50
